,name,all_cols
544,r/AzureLane,7
545,r/Pathfinder_Kingmaker,12
546,r/LateStageCapitalism,12
547,r/Austin,6
548,r/SaintMeghanMarkle,10
549,r/fo4,12
550,r/privacy,12
551,r/delta,12
552,r/Sneakers,12
553,r/MonsterHunter,7
554,r/btd6,12
555,r/RocketLeague,12
556,r/rpg,7
557,r/whowouldwin,12
558,r/Bitcoin,5
562,r/BinIchDasArschloch,5
563,r/torontoraptors,10
564,r/Pathfinder2e,12
565,r/trashy,12
566,r/Calgary,6
567,r/FiftyFifty,7
568,r/Turkey,6
575,r/TheLastAirbender,7
576,r/popheads,12
577,r/Pandabuy,12
579,r/NoahGetTheBoat,12
583,r/BokuNoHeroAcademia,7
584,r/MtF,12
586,r/manhwa,7
587,r/teslamotors,5
588,r/mtg,7
591,r/Celebs,10
592,r/LinkedInLunatics,4
593,r/sydney,6
594,r/TattooDesigns,9
595,r/CreditCards,4
596,r/LocalLLaMA,5
599,r/paydaytheheist,7
601,r/darksouls3,7
602,r/Guitar,9
603,r/Austria,6
606,r/ottawa,6
609,r/audiophile,9
610,r/Jujutsushi,12
611,r/whatcarshouldIbuy,0
613,r/BlueArchive,12
614,r/ClashRoyale,12
615,r/elderscrollsonline,7
616,r/masterduel,7
617,r/oddlyspecific,1
618,r/CFB,12
619,r/7daystodie,12
620,r/poland,6
621,r/ROGAlly,12
622,r/BBBY,11
623,r/furry_irl,10
625,r/Persona5,12
627,r/csgo,12
628,r/lakers,10
629,r/electricvehicles,5
631,r/TrashTaste,12
632,r/washingtondc,6
633,r/Drumkits,9
634,r/Edmonton,6
635,r/TheMajorityReport,12
637,r/WinStupidPrizes,12
638,r/aviation,4
639,r/MortalKombat,7
640,r/LosAngeles,6
642,r/Mcat,4
644,r/intel,11
646,r/nosleep,9
647,r/30PlusSkinCare,9
648,r/college,4
650,r/ultrawidemasterrace,12
652,r/chicago,6
654,r/Repsneakers,12
655,r/yuzu,12
656,r/coys,12
657,r/Windows11,5
658,r/EulaMains,12
659,r/residentevil,7
660,r/Truckers,10
661,r/ARK,12
662,r/serbia,6
663,r/moreplatesmoredates,12
664,r/namenerds,12
665,r/rolex,11
666,r/197,12
667,r/malaysia,6
668,r/CoDCompetitive,7
669,r/running,9
670,r/BravoRealHousewives,7
672,r/blankies,12
673,r/FalloutMods,7
676,r/wohnen,12
677,r/childfree,10
679,r/daddit,12
680,r/playstation,5
681,r/korea,6
682,r/OceanGateTitan,6
683,r/Construction,4
684,r/reactjs,5
685,r/DivinityOriginalSin,12
687,r/bindingofisaac,12
690,r/harrypotter,7
693,r/godot,12
694,r/socialskills,10
696,r/fixedbytheduet,12
697,r/malelivingspace,10
698,r/trans,10
699,r/HollowKnight,7
700,r/collapse,12
703,r/synology,12
704,r/playboicarti,12
705,r/darksouls,7
706,r/writing,9
707,r/vexillologycirclejerk,12
708,r/flying,3
709,r/imaginarymaps,6
710,r/FantasyPL,12
712,r/allthemods,12
714,r/peloton,9
715,r/Notion,5
719,r/firefox,5
720,r/whatsthisplant,0
722,r/HydroHomies,12
723,r/startrek,7
724,r/ClashOfClans,12
725,r/Denver,6
726,r/TheBear,7
727,r/oculus,5
728,r/Italia,6
729,r/assettocorsa,12
730,r/amcstock,4
735,r/fut,12
736,r/NatureIsFuckingLit,4
737,r/DarkTide,12
738,r/3DS,5
739,r/forsen,12
741,r/space,4
743,r/Ubiquiti,12
744,r/overclocking,12
745,r/Bogleheads,12
748,r/Seaofthieves,12
749,r/masseffect,12
750,r/Baking,9
751,r/ZoroZone,12
752,r/nyc,6
756,r/gundeals,12
757,r/betterCallSaul,7
759,r/IBO,12
760,r/minipainting,9
762,r/beauty,9
763,r/texas,6
764,r/resumes,4
766,r/smallbusiness,4
767,r/PS4,5
768,r/overemployed,12
769,r/airbnb_hosts,11
770,r/cybersecurity,5
773,r/Beichtstuhl,12
774,r/FireEmblemHeroes,7
775,r/windows,5
776,r/LegendsOfRuneterra,7
777,r/subnautica,12
778,r/actuallesbians,10
779,r/IrrationalMadness,10
781,r/battlefield2042,7
782,r/Portland,6
783,r/VaushV,12
784,r/UrbanHell,12
785,r/nattyorjuice,12
787,r/steak,9
788,r/SonicTheHedgehog,7
789,r/AbsoluteUnits,12
790,r/Supplements,9
791,r/UnresolvedMysteries,4
792,r/Futurology,4
797,r/Ratschlag,12
798,r/HighStrangeness,12
800,r/metalgearsolid,7
801,r/Competitiveoverwatch,7
803,r/madlads,12
805,r/vexillology,12
806,r/autism,4
807,r/croatia,6
808,r/Bannerlord,12
809,r/futebol,9
811,r/BlueLock,12
813,r/thefighterandthekid,12
815,r/StudentLoans,4
816,r/emulation,12
817,r/Kanye,10
818,r/fragrance,9
819,r/neovim,12
821,r/CalamityMod,12
822,r/AbruptChaos,12
824,r/productivity,4
826,r/fireemblem,7
827,r/Military,6
828,r/LowSodiumCyberpunk,12
829,r/Guiltygear,12
830,r/stunfisk,12
831,r/Undertale,7
832,r/Eve,12
833,r/Finland,6
837,r/BMW,11
838,r/insects,4
839,r/AirForce,6
840,r/razer,12
841,r/weed,9
842,r/philadelphia,6
844,r/gardening,9
845,r/thedivision,12
846,r/19684,12
847,r/wordington,12
849,r/ForzaHorizon,12
850,r/smoking,9
851,r/msp,12
854,r/UnearthedArcana,7
855,r/electrical,4
856,r/hoggit,12
857,r/Piratefolk,12
861,r/vegan,10
862,r/polls,4
863,r/nier,12
868,r/EnoughMuskSpam,12
869,r/GenP,12
870,r/breakingbad,7
872,r/Tekken,12
875,r/raisedbynarcissists,10
876,r/CODZombies,7
877,r/limbuscompany,11
878,r/chile,6
879,r/lastimages,12
881,r/electricians,10
882,r/KitchenConfidential,12
884,r/nova,12
885,r/OUTFITS,12
887,r/Economics,4
888,r/Pikmin,12
889,r/airsoft,12
893,r/neoliberal,10
894,r/thinkpad,12
895,r/JustUnsubbed,12
896,r/criticalrole,12
897,r/CompetitiveApex,12
898,r/houston,6
899,r/WWE,9
900,r/golang,5
903,r/BambuLab,12
904,r/ipad,5
905,r/nursing,4
906,r/edmproduction,7
907,r/FallenOrder,12
908,r/Kiddions,12
910,r/unitedairlines,11
911,r/FL_Studio,5
912,r/visualnovels,7
913,r/aliens,4
914,r/dayz,12
916,r/onebag,12
917,r/MTB,12
919,r/Gunpla,12
921,r/lotr,7
922,r/swtor,12
923,r/PropagandaPosters,12
924,r/italy,6
926,r/CharacterRant,12
928,r/DiWHY,4
929,r/assetto_pirate,12
932,r/BocchiTheRock,12
933,r/VirtualYoutubers,10
934,r/Kengan_Ashura,12
936,r/stopdrinking,9
938,r/StardustCrusaders,12
939,r/hacking,5
940,r/ExperiencedDevs,5
941,r/ConanExiles,12
942,r/InstaCelebsGossip,9
943,r/ios,5
945,r/handbags,9
946,r/justneckbeardthings,10
947,r/OMORI,12
949,r/2meirl4meirl,10
950,r/army,6
951,r/riskofrain,12
952,r/thesopranos,7
953,r/montreal,6
957,r/smashbros,7
958,r/chrome,5
959,r/RaidShadowLegends,7
961,r/dubai,6
964,r/Marriage,10
965,r/auckland,6
966,r/Xenoblade_Chronicles,7
967,r/aoe2,12
969,r/KotakuInAction,5
970,r/britishcolumbia,6
971,r/needforspeed,12
972,r/dogs,10
973,r/Pikabu,7
975,r/Brawlstars,12
979,r/blackmagicfuckery,12
980,r/Youmo,12
981,r/Faces,12
982,r/progresspics,9
985,r/Wrasslin,12
986,r/ObsidianMD,12
991,r/orangetheory,9
993,r/digitalnomad,10
994,r/HelluvaBoss,12
995,r/beyondthebump,12
998,r/HypixelSkyblock,12
999,r/bostonceltics,9
1000,r/splatoon,7
